ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,21135.66707517856,4.63560880950064
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,23999.647414864954,36734.21,-12734.562585135045,25.64530674894474,42912.44140682936,9.411829336406107
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,129.5752827025437,0.028419274388308984
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,41900.688515195936,9.189925263030462
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,18020.435421799997,3.952356407545643
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,874.2342496499999,0.19174261095378672
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,15246.195508899364,3.3438924809438926
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,3.62388,0.0007948123895413535
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,24936.041093349995,5.469130988638391
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,248.53822125000002,0.0545109820203953
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,3587.2088940029785,0.0,3587.2088940029785,3.8331843326276975,10420.245612375731,2.2854344831451807
24,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
27,battery,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,24121.473775936258,0.0,24121.473775936258,25.775486761416346,165628.2417390774,36.326638462688905
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9747764016968896,6002.178292001339,1.3164358838368888
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.272464015900326,107838.37279821913,23.651797180923165
39,utilitypv_losangeles,2,242.73260296713553,0.0,242.73260296713553,0.25937681306127774,618.7265215332021,0.13570303239964185
40,battery,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
53,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
54,battery,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
