ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,14904.336157216476,3.277047333057141
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,5069.262558720015,1.114589282836085
5,natural_gas_fired_combined_cycle,2,36269.22,36734.21,-464.98999999999796,38.756205721124566,3717.211898240008,0.817311097189497
6,natural_gas_fired_combustion_turbine,2,4639.139999999999,4704.48,-65.34000000000015,4.957246508447046,528.7945291200001,0.1162671509223082
7,natural_gas_steam_turbine,2,894.8,1118.5,-223.70000000000005,0.9561565668978339,1703.6115096000026,0.37457659940104177
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,10128.343148930508,2.22693983511769
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,12392.1538734,2.7246885988945264
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,856.72127385,0.18836908507891498
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,3727.7903660560537,0.8196370068696553
13,natural_gas_fired_combined_cycle,3,3182.53,3427.34,-244.80999999999995,3.4007565476635713,1289.9430595999984,0.2836224585025203
14,natural_gas_fired_combustion_turbine,3,1115.04,1207.96,-92.92000000000007,1.1914984559161386,398.9338962287798,0.08771442397114937
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,21982.70759794853,4.833383556794792
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,262.54629500000004,0.0577265989412887
17,naturalgas_ccccsavgcf,1,500.0,0.0,500.0,0.5342850731436265,3173.818791874745,0.6978341267808742
18,naturalgas_ccavgcf,1,500.0,0.0,500.0,0.5342850731436265,2397.4822014184447,0.5271393889224772
19,naturalgas_ctavgcf,1,100.0,0.0,100.0,0.1068570146287253,407.68,0.08963744796468971
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
22,landbasedwind_ltrg1,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
23,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,3139.1929624284794,0.0,3139.1929624284794,3.3544478830861153,3350.894777411783,0.7367681913397742
28,naturalgas_ccs100,1,500.0,0.0,500.0,0.5342850731436265,3074.379571249422,0.6759702189010379
29,naturalgas_ccccsavgcf,2,500.0,0.0,500.0,0.5342850731436265,4091.2,0.8995406375420392
30,naturalgas_ccavgcf,2,500.0,0.0,500.0,0.5342850731436265,3817.6,0.8393836375343392
31,naturalgas_ctavgcf,2,100.0,0.0,100.0,0.1068570146287253,775.32,0.17047121800427595
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9747764016968896,4505.551067390999,0.9906448669434677
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.727985852131263,5769.237290953499,1.2684941803958782
34,landbasedwind_ltrg1,2,2288.25,0.0,2288.25,2.4451556372418066,4874.145262875,1.07168843792508
35,offshorewind_otrg3,2,842.5,0.0,842.5,0.9002703482470107,2521.4523664999997,0.5543969664874103
36,offshorewind_otrg3,2,1329.9999999999998,0.0,1329.9999999999998,1.4211982945620463,4177.238996,0.9184582102139488
37,offshorewind_otrg3,2,1520.0,0.0,1520.0,1.6242266223566246,4694.80424,1.032256354904348
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.272464015900326,111118.74996587861,24.431910243249142
39,utilitypv_losangeles,2,32915.25,0.0,32915.25,35.17225350758151,81395.6872437,17.896638735913747
40,battery,2,46895.4725791,0.0,46895.4725791,50.11110199405875,59078.09079954801,12.989622473257697
41,naturalgas_ccs100,2,500.0,0.0,500.0,0.5342850731436265,4087.2,0.8986611492378329
42,naturalgas_ccccsavgcf,3,500.0,0.0,500.0,0.5342850731436265,3191.898536152297,0.7018093576896604
43,naturalgas_ccavgcf,3,500.0,0.0,500.0,0.5342850731436265,2875.5342916937584,0.6322496944720862
44,naturalgas_ctavgcf,3,100.0,0.0,100.0,0.1068570146287253,413.28,0.0908687315905783
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,6573.825,0.0,6573.825,7.0245931419168,24020.361039885254,5.281406649346974
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,17070.575619766212,0.0,17070.575619766212,18.241107487221196,44784.01509021477,9.846754371808784
53,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
54,battery,3,8714.53472800351,0.0,8714.53472800351,9.312091649128057,13885.512135990679,3.0530363803790523
55,naturalgas_ccs100,3,500.0,0.0,500.0,0.5342850731436265,3068.8,0.67474342698695
