ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,6203.083109919571,8495.9,-2292.8168900804285,6.6284294261987435,13764.76772810878,3.0264880567464454
4,conventional_steam_coal,2,-0.0,13567.68,-13567.68,-0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,-0.0,36734.21,-36734.21,-0.0,0.0,0.0
6,natural_gas_fired_combustion_turbine,2,-0.0,4704.48,-4704.48,-0.0,0.0,0.0
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642428331058763
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,12429.795807800003,2.7329650091576503
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,856.72127385,0.18836908507891498
12,conventional_steam_coal,3,-0.0,650.0,-650.0,-0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,-0.0,3427.34,-3427.34,-0.0,0.0,0.0
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,20.50562677437541,0.004508614729619859
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,23090.0002785,5.076846297264312
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,295.7935787,0.06503674823148205
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
19,naturalgas_ctavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
30,naturalgas_ccavgcf,2,75756.567524933,0.0,75756.567524933,80.9512064423378,360358.7330140527,79.23282275110051
31,naturalgas_ctavgcf,2,3057.0934048257186,0.0,3057.0934048257186,3.2667187468084147,93.28773028951464,0.020511366928891227
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
40,battery,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
44,naturalgas_ctavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
